seq_number,code,category,district,fire_station_division,alley_name,width_m
1,2,紅區,中正區,城中分隊,齊東街82巷,2.9
2,3,紅區,中正區,城中分隊,中山北路1段8巷,2.8
3,4,紅區,中正區,城中分隊,中山北路1段26巷,2.6
4,6,紅區,中正區,城中分隊,忠孝西路1段29巷,3
5,7,紅區,中正區,泉州分隊,中華路2段81巷6至44號,3.8
6,12,紅區,中正區,泉州分隊,博愛路230巷2至6號,4
7,23,紅區,中正區,泉州分隊,寧波西街40巷,3.4
8,29,紅區,中正區,泉州分隊,寧波西街22巷,3.3
9,30,紅區,中正區,古亭分隊,重慶南路3段65巷4弄,3.6
10,31,紅區,中正區,古亭分隊,重慶南路3段65巷6弄,3.8
11,33,紅區,萬華區,龍山分隊,西昌街29巷1至25及2至20號,3.5
12,40,紅區,萬華區,龍山分隊,康定路46巷1至11及2至22號,3.5
13,43,紅區,萬華區,龍山分隊,雅江街16至62及39至87號,3.5
14,49,紅區,萬華區,龍山分隊,成都路27巷,2.7
15,51,紅區,萬華區,龍山分隊,成都路105巷1至15及2至16號,3.3
16,54,紅區,萬華區,龍山分隊,中華路1段114巷2至18及5至23號,3
17,58,紅區,萬華區,龍山分隊,永福街49巷4至12號,2.5
18,63,紅區,萬華區,龍山分隊,漢口街2段109巷2至24及7至21-2號,4
19,64,紅區,萬華區,龍山分隊,康定路25巷1至43及2至42號,3.8
20,65,紅區,萬華區,龍山分隊,貴陽街2段114巷3至27及4至28號,4
21,67,紅區,萬華區,雙園分隊,德昌街147巷,4
22,77,黃區,文山區,木柵分隊,秀明路1段79巷1弄,4.2
23,79,紅區,萬華區,雙園分隊,德昌街185巷2號至10號,4
24,82,紅區,萬華區,雙園分隊,西藏路259巷,4
25,89,紅區,萬華區,雙園分隊,寶興街188巷,3.3
26,93,紅區,萬華區,雙園分隊,艋舺大道86巷,3
27,95,紅區,萬華區,雙園分隊,長泰街73巷,3
28,96,紅區,文山區,木柵分隊,興隆路3段229巷,3
29,110,紅區,文山區,景美分隊,萬盛街61至155號,3.4
30,112,紅區,文山區,景美分隊,羅斯福路5段79巷,3
31,120,紅區,文山區,景美分隊,景興路120巷,3.3
32,122,紅區,文山區,景美分隊,育英街17巷5弄,3.6
33,124,紅區,文山區,景美分隊,汀州路4段23巷,4
34,125,紅區,文山區,景美分隊,育英街17巷9弄,3.5
35,130,紅區,文山區,寶橋分隊,景興路53巷5至17號,3.3
36,131,紅區,文山區,景美分隊,溪口街107巷1弄,3
37,132,紅區,文山區,景美分隊,溪口街107巷4弄,3
38,136,紅區,文山區,景美分隊,溪口街66巷6弄,3.8
39,137,紅區,文山區,景美分隊,溪口街91巷,4
40,141,紅區,文山區,景美分隊,羅斯福路5段53巷,2.6
41,142,紅區,文山區,寶橋分隊,木柵路1段191巷(13、14、15及16號),3.2
42,152,紅區,大安區,安和分隊,通化街181巷,3
43,153,紅區,大安區,安和分隊,通化街182巷,3
44,161,紅區,大安區,金華分隊,復興南路2段210巷1弄,3.7
45,162,紅區,大安區,金華分隊,和平東路2段153巷,3.4
46,164,紅區,大安區,安和分隊,和平東路2段283巷,3.4
